product_id,brand,product_name,upc_barcode,form_type,serving_size_count,serving_size_unit,servings_per_container,ingredient,ingredient_form,ingredient_category,amount_per_serving_mg,is_proprietary_blend,recommended_daily_mg,upper_safety_limit_mg,pubchem_cid,molecular_formula,molecular_weight,inchikey,canonical_smiles,dsld_label_id,source_url,dataset_version
20,Life Extension,Super K with Advanced K2 Complex,7 37870 17249 9,Softgel Capsule,1.0,Softgel(s),,Vitamin C,Ascorbyl Palmitate,vitamin,10.0,0,90.0,2000.0,54670067.0,C6H8O6,176.12,CIWBSHSKHKDKBQ-JLAZNSOCSA-N,C([C@@H]([C@@H]1C(=C(C(=O)O1)O)O)O)O,62815,https://dsld.od.nih.gov/label/62815,2026.07
20,Life Extension,Super K with Advanced K2 Complex,7 37870 17249 9,Softgel Capsule,1.0,Softgel(s),,Vitamin K,Vitamin K,vitamin,2.2,0,,,5280483.0,C31H46O2,450.7,MBWXNTAXLNYFJB-LKUDQCMESA-N,CC1=C(C(=O)C2=CC=CC=C2C1=O)C/C=C(\C)/CCCC(C)CCCC(C)CCCC(C)C,62815,https://dsld.od.nih.gov/label/62815,2026.07
60,Spring Valley,Chromium Picolinate 500 mcg,6 05388 27309 3,Softgel Capsule,1.0,Softgel(s),,Chromium,Chromium Picolinate,mineral,0.5,0,0.035,,23976.0,Cr,51.996,VYZAMTAEIAYCRO-UHFFFAOYSA-N,[Cr],82890,https://dsld.od.nih.gov/label/82890,2026.07
89,Life Extension,Two-Per-Day Multivitamin,7 37870 23141 7,Capsule,2.0,Capsule(s),60.0,Alpha Lipoic Acid,Alpha-Lipoic Acid,non-nutrient/non-botanical,25.0,0,,,864.0,C8H14O2S2,206.3,AGBQKNBQESQNJD-UHFFFAOYSA-N,C1CSSC1CCCCC(=O)O,328754,https://dsld.od.nih.gov/label/328754,2026.07
89,Life Extension,Two-Per-Day Multivitamin,7 37870 23141 7,Capsule,2.0,Capsule(s),60.0,Apigenin,Apigenin,non-nutrient/non-botanical,5.0,0,,,5280443.0,C15H10O5,270.24,KZNIFHPLKGYRTM-UHFFFAOYSA-N,C1=CC(=CC=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O,328754,https://dsld.od.nih.gov/label/328754,2026.07
89,Life Extension,Two-Per-Day Multivitamin,7 37870 23141 7,Capsule,2.0,Capsule(s),60.0,Biotin,Biotin,vitamin,0.3,0,0.03,,171548.0,C10H16N2O3S,244.31,YBJHBAHKTGYVGT-ZKWXMUAHSA-N,C1[C@H]2[C@@H]([C@@H](S1)CCCCC(=O)O)NC(=O)N2,328754,https://dsld.od.nih.gov/label/328754,2026.07
89,Life Extension,Two-Per-Day Multivitamin,7 37870 23141 7,Capsule,2.0,Capsule(s),60.0,Boron,Boron Amino Acid Chelate,mineral,3.0,0,,20.0,5462311.0,B,10.81,ZOXJGFHDIHLPTG-UHFFFAOYSA-N,[B],328754,https://dsld.od.nih.gov/label/328754,2026.07
89,Life Extension,Two-Per-Day Multivitamin,7 37870 23141 7,Capsule,2.0,Capsule(s),60.0,Chromium,Crominex 3+,mineral,0.2,0,0.035,,23976.0,Cr,51.996,VYZAMTAEIAYCRO-UHFFFAOYSA-N,[Cr],328754,https://dsld.od.nih.gov/label/328754,2026.07
89,Life Extension,Two-Per-Day Multivitamin,7 37870 23141 7,Capsule,2.0,Capsule(s),60.0,Inositol,Inositol,non-nutrient/non-botanical,50.0,0,,,892.0,C6H12O6,180.16,CDAISMWEOUEBRE-UHFFFAOYSA-N,C1(C(C(C(C(C1O)O)O)O)O)O,328754,https://dsld.od.nih.gov/label/328754,2026.07
89,Life Extension,Two-Per-Day Multivitamin,7 37870 23141 7,Capsule,2.0,Capsule(s),60.0,Iodine,Potassium Iodide,mineral,0.15,0,0.15,1.1,807.0,I2,253.8089,PNDPGZBMCMUPRI-UHFFFAOYSA-N,II,328754,https://dsld.od.nih.gov/label/328754,2026.07
